%time,control_mode
1736135812284914976,9
1736135812334925038,9
1736135812384812977,9
1736135812434981783,9
1736135812485012355,9
1736135812534834027,9
1736135812584906369,9
1736135812634829625,9
1736135812684840189,9
1736135812734798883,9
1736135812784847920,9
1736135812834825702,9
1736135812884806458,9
1736135812934811310,9
1736135812984733904,9
1736135813034790293,9
1736135813084803627,9
1736135813134796241,9
1736135813184742926,9
1736135813234663202,9
1736135813284754805,9
1736135813334778828,9
1736135813384805226,9
1736135813434777732,9
1736135813484852032,9
1736135813534795601,9
1736135813584869060,9
1736135813634775218,9
1736135813684781819,9
1736135813734769773,9
1736135813784781763,9
1736135813834883647,9
1736135813884831775,9
1736135813934825050,9
1736135813984818546,9
1736135814034870880,9
1736135814084798313,9
1736135814134806212,9
1736135814184762821,9
1736135814234777481,9
1736135814284796830,9
1736135814334804186,9
1736135814384804800,9
1736135814434872060,9
1736135814484797471,9
1736135814534771975,9
1736135814584761897,9
1736135814634844177,9
1736135814684796037,9
1736135814734926188,9
1736135814784785972,9
1736135814834795564,9
1736135814884817167,9
1736135814934769308,9
1736135814984769490,9
1736135815034783505,9
1736135815084967013,9
1736135815134886085,9
1736135815184864701,9
1736135815234822046,9
1736135815284870055,9
1736135815334861645,9
1736135815384941525,9
1736135815434955398,9
1736135815484845535,9
1736135815534885398,9
1736135815584774252,9
1736135815634939786,9
1736135815684835172,9
1736135815734915242,9
1736135815785748544,8
1736135815835794058,8
1736135815835884852,0
1736135815884715450,0
1736135815934745344,0
1736135815984732065,0
1736135816034713304,0
1736135816084700822,0
1736135816134686234,0
1736135816184707347,0
1736135816234801217,0
1736135816284675337,0
1736135816334740414,0
1736135816384710007,0
1736135816434774411,0
1736135816484695412,0
1736135816534710392,0
1736135816584658264,0
1736135816634702860,0
1736135816684712921,0
1736135816734726899,0
1736135816784775944,0
1736135816834801263,0
1736135816884692807,0
1736135816934748636,0
1736135816984701236,0
1736135817034715742,0
1736135817084646145,0
1736135817134770600,0
1736135817184698257,0
1736135817234739592,0
1736135817284727254,0
1736135817334727130,0
1736135817384642764,0
1736135817434731560,0
1736135817484787122,0
1736135817534717495,0
1736135817584710468,0
1736135817634685175,0
1736135817684758601,0
1736135817734678794,0
1736135817784652280,0
1736135817834582531,0
1736135817884636161,0
1736135817934670182,0
1736135817984662453,0
1736135818034684348,0
1736135818084786814,0
1736135818134764361,0
1736135818184797937,0
1736135818234684189,0
1736135818284727763,0
1736135818334737461,0
1736135818384804711,0
1736135818434752873,0
1736135818484723697,0
1736135818534706925,0
1736135818584671708,0
1736135818634747755,0
1736135818684702899,0
1736135818734703761,0
1736135818784686077,0
1736135818834759719,0
1736135818884694605,0
1736135818934694205,0
1736135818984708682,0
1736135819034683942,0
1736135819084744603,0
1736135819134673251,0
1736135819184839383,0
1736135819234731362,0
1736135819284691360,0
1736135819334674843,0
1736135819384654110,0
1736135819434711003,0
1736135819484666984,0
1736135819534761420,0
1736135819584657576,0
1736135819634702717,0
1736135819684651854,0
1736135819734674363,0
1736135819784706650,0
1736135819834738626,0
1736135819884822422,0
1736135819934708709,0
1736135819984716518,0
1736135820034667428,0
1736135820084686373,0
1736135820134668509,0
1736135820184702302,0
1736135820234670552,0
1736135820284777386,0
1736135820334731347,0
1736135820384698614,0
1736135820434669117,0
1736135820484738058,0
1736135820534632496,0
1736135820584712028,0
1736135820634705445,0
