%time,desired_box
1735646689561148748,0
1735646689761126298,0
1735646689961127241,0
1735646690161131202,0
1735646690361118740,0
1735646690561139663,0
1735646690761158562,0
1735646690961172621,0
1735646691161140394,0
1735646691361092327,0
1735646691561135574,0
1735646691761103107,0
1735646691961143968,0
1735646692161125629,0
1735646692361180098,0
1735646692561121603,0
1735646692761136567,0
1735646692961118949,0
1735646693161125858,0
1735646693361126136,0
1735646693561098620,0
1735646693761140426,0
1735646693961134913,0
1735646694161134450,0
1735646694361045520,0
1735646694561161217,0
1735646694761125037,0
1735646694961169139,0
1735646695161126968,0
1735646695361143880,0
1735646695561097943,0
1735646695761164007,0
1735646695961092602,0
1735646696161042277,0
1735646696361170931,0
1735646696561101631,0
1735646696761136307,0
1735646696960984501,0
1735646697161134045,0
1735646697360988393,0
1735646697561153146,0
1735646697761196411,0
1735646697960993599,0
1735646698161155959,0
1735646698361123732,0
1735646698561131419,0
1735646698761159627,0
1735646698961192111,0
1735646699160957683,0
1735646706434767356,17
1735646706634076375,17
1735646706834112146,17
1735646707034109014,17
1735646707234071508,17
1735646707434066103,17
1735646707634163492,17
1735646707834035847,17
1735646708033980648,17
1735646708234090321,17
1735646708434055722,17
1735646708634098309,17
1735646708833882478,17
1735646709034031256,17
1735646709234104251,17
1735646709433882079,17
1735646709634086163,17
1735646709834111889,17
1735646710034116155,17
1735646710234069025,17
1735646710434062932,17
1735646710634066868,17
1735646710834031180,17
1735646711034113766,17
1735646711234134966,17
1735646711433941069,17
1735646711634139214,17
1735646711834142360,17
1735646712033997697,17
1735646712234010032,17
1735646712434073884,17
1735646712634066632,17
1735646712834099375,17
1735646713034078768,17
1735646713234116191,17
1735646713434114942,17
1735646713634099195,17
1735646713834054314,17
1735646714034000744,17
1735646714234058147,17
1735646714434038063,17
1735646714633929893,17
1735646714834117372,17
1735646715034097618,17
1735646715234061676,17
1735646715434112016,17
1735646715634055264,17
1735646715833912990,17
1735646716034119766,17
1735646716233951005,17
1735646716434071188,17
1735646716633978620,17
1735646716834086981,17
1735646717034119639,17
1735646717234063310,17
1735646717434111369,17
1735646717634131335,17
1735646717834077892,17
1735646718034098819,17
1735646718234112564,17
1735646718434125558,17
1735646718634099288,17
1735646718834094147,17
1735646719034087634,17
1735646719234106199,17
1735646719434098846,17
1735646719634032451,17
1735646719834134775,17
1735646720034063179,17
1735646720234122875,17
1735646720434151740,17
1735646720634040712,17
1735646720834101819,17
1735646721034115757,17
1735646721234129636,17
1735646721434124410,17
1735646721634091771,17
1735646721833985793,17
1735646722034079683,17
1735646722234136575,17
1735646722434104269,17
1735646722633992963,17
1735646722834064992,17
1735646723034151349,17
1735646723234004528,17
1735646723434095855,17
1735646723634172365,17
1735646723834112327,17
1735646724034050596,17
1735646724234135012,17
1735646724434077731,17
1735646724633953172,17
1735646724834014624,17
1735646725033970678,17
1735646725234110009,17
1735646725434120948,17
1735646725634126976,17
1735646725834124018,17
1735646726034077649,17
1735646726234134366,17
1735646726434128745,17
1735646726634124184,17
1735646726834139182,17
1735646727034136837,17
1735646727234140424,17
1735646727434144031,17
1735646727634140785,17
1735646727834016430,17
1735646728034089349,17
1735646728234124938,17
1735646728434062321,17
1735646728633998422,17
1735646728834018781,17
1735646729034157545,17
1735646729234138382,17
1735646729434119700,17
1735646729633970910,17
1735646729834002243,17
1735646730034173479,17
1735646730234129250,17
1735646730434128272,17
1735646730634034949,17
1735646730834118862,17
1735646731034120298,17
1735646731234132668,17
1735646731434145547,17
1735646731634085118,17
1735646731834055387,17
1735646732034165901,17
1735646732234138856,17
1735646732434067668,17
1735646732634109514,17
1735646732834083362,17
1735646733034073620,17
1735646733233949402,17
1735646733434130142,17
1735646733634157660,17
1735646733834037041,17
1735646734034154181,17
1735646734234139942,17
1735646734434132216,17
1735646734634138767,17
1735646734834144106,17
1735646735034146139,17
1735646735234150217,17
1735646735434143695,17
1735646735634118227,17
1735646735834137584,17
1735646736034101516,17
1735646736234115683,17
1735646736434121987,17
1735646736634109323,17
1735646736834043421,17
1735646737034202595,17
1735646737234265837,17
1735646737434135783,17
1735646737634149573,17
1735646737834130428,17
1735646738034146461,17
1735646738234182813,17
1735646738434164783,17
1735646738634117086,17
1735646738834120356,17
1735646739034024651,17
1735646739234057837,17
1735646739434132905,17
1735646739633927272,17
1735646739834044336,17
1735646740034142988,17
1735646740234152522,17
1735646740434096092,17
1735646740634563341,17
1735646740834440466,17
1735646741034063279,17
1735646741234180818,17
1735646741434169814,17
1735646741634114587,17
1735646741833988787,17
1735646742034148706,17
1735646742234109541,17
1735646742433984524,17
1735646742634125088,17
1735646742834130887,17
1735646743034144992,17
1735646743234129163,17
1735646743434153528,17
1735646743634118411,17
1735646743834021699,17
1735646744034110536,17
1735646744234117130,17
1735646744434077186,17
1735646744634009258,17
1735646744834093258,17
1735646745034106143,17
1735646745234091818,17
1735646745434107610,17
1735646745634099316,17
1735646745833927524,17
1735646746034090464,17
1735646746234080147,17
1735646746434126008,17
1735646746634175314,17
1735646746834018902,17
1735646747034096562,17
1735646747234039859,17
1735646747433909748,17
1735646747633946112,17
1735646747834096310,17
1735646748034073731,17
1735646748234088125,17
1735646748434052884,17
1735646748634065102,17
1735646748834107137,17
1735646749034134435,17
1735646749234108664,17
1735646749434075146,17
1735646749634050707,17
1735646749834061494,17
1735646750034079767,17
1735646750234090935,17
1735646750434077398,17
1735646750633870785,17
1735646750834118421,17
1735646751034115775,17
1735646751234071389,17
1735646751434110012,17
1735646751633919672,17
1735646751833992789,17
1735646752034058563,17
1735646752234106674,17
1735646752434093559,17
1735646752634107556,17
1735646752834059205,17
1735646753034015182,17
1735646753234107588,17
1735646753434117098,17
1735646753633908947,17
1735646753834144664,17
1735646754034113005,17
1735646754234125622,17
1735646754434116769,17
1735646754634055736,17
1735646754834091635,17
1735646755034097079,17
1735646755234099268,17
1735646755434099541,17
1735646755634112531,17
1735646755833942222,17
1735646756034132647,17
1735646756234118875,17
1735646756434107318,17
1735646756634026731,17
1735646756834102519,17
1735646757034122172,17
1735646757234141024,17
1735646757434111293,17
1735646757634119525,17
1735646757834086289,17
1735646758034168832,17
1735646758234143891,17
1735646758434113622,17
1735646758634126092,17
1735646758834049455,17
1735646759034119204,17
1735646759234132868,17
1735646759434123310,17
1735646759634114411,17
1735646759834038497,17
1735646760034067340,17
1735646760234100212,17
1735646760434155636,17
1735646760634008717,17
1735646760834171164,17
1735646761034096994,17
1735646761234113927,17
1735646761434117485,17
1735646761633985046,17
1735646761834160468,17
1735646762033969879,17
