%time,control_mode,desired_box,eef_distance,intersection_length,field.boxes0.id,field.boxes1.id,field.boxes2.id,field.boxes3.id,field.boxes4.id,field.boxes5.id,field.boxes6.id,field.boxes7.id,field.boxes8.id,baysian0,baysian1,baysian2,baysian3,baysian4,baysian5,baysian6,baysian7,baysian8
6.300097995,0,121,0.188008964061737,58.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.2738260305349838e-05,0.018487478451335495,1.0020020952761588e-06,0.3421843847657731,1.0020020952761588e-06,1.0020020952761588e-06,1.5767367689461797e-05,1.7533358320767412e-05
6.400068336,0,121,0.1828507930040359,59.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.3301243442776656e-05,0.019779680095759748,1.0020020952761588e-06,0.3652390923240996,1.0020020952761588e-06,1.0020020952761588e-06,1.687863921679268e-05,2.0494153710474495e-05
6.500067323,0,121,0.1778321862220764,60.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.4081094349409563e-05,0.021137450573416077,1.0020020952761588e-06,0.3852124811014394,1.0020020952761588e-06,1.0020020952761588e-06,1.6738716104794415e-05,2.219462669262384e-05
6.600063885,0,121,0.1728909313678741,61.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.6071548733623707e-05,0.023187930130094493,1.0020020952761588e-06,0.4046388986437858,1.0020020952761588e-06,1.0020020952761588e-06,1.517138247077138e-05,2.2298171132469156e-05
6.700103876,0,121,0.1689968556165695,62.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.945953787001206e-05,0.026092268560898395,1.0020020952761588e-06,0.42732346235138646,1.0020020952761588e-06,1.0020020952761588e-06,1.3594091231423055e-05,2.2457862820426846e-05
6.800082705,0,121,0.1644415408372879,63.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,2.61063058607895e-05,0.03081210976149786,1.0020020952761588e-06,0.4583791293265867,1.0020020952761588e-06,1.0020020952761588e-06,1.236755919066808e-05,2.366891171046685e-05
6.900059478,0,121,0.1602262407541275,64.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,3.499203603622678e-05,0.0363737569662478,1.0020020952761588e-06,0.49030196756171707,1.0020020952761588e-06,1.0020020952761588e-06,1.1291249891981481e-05,2.506882026849839e-05
7.000062252,0,121,0.1564141660928726,65.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,4.1388038737791225e-05,0.04059078133741051,1.0020020952761588e-06,0.5149519137759201,1.0020020952761588e-06,1.0020020952761588e-06,1.0376195561142943e-05,2.5940146184710928e-05
7.10009975,0,121,0.1516269147396087,66.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,4.179274832718307e-05,0.04200990201911198,1.0020020952761588e-06,0.5287285601301892,1.0020020952761588e-06,1.0020020952761588e-06,9.752900691757432e-06,2.6089378096783212e-05
7.200044805,0,121,0.1471357941627502,67.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,3.7061821786956704e-05,0.04061720436516209,1.0020020952761588e-06,0.5297131768765254,1.0020020952761588e-06,1.0020020952761588e-06,9.024139946151293e-06,2.4636975009745524e-05
7.30008182,0,121,0.1440591067075729,68.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,3.444650697630941e-05,0.04013321470251754,1.0020020952761588e-06,0.5329191714694166,1.0020020952761588e-06,1.0020020952761588e-06,8.111700111919135e-06,2.302575752155725e-05
7.400063851,0,121,0.1424844712018966,69.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,5.190140191291161e-05,0.04743888838894506,1.0020020952761588e-06,0.5463076814140317,1.0020020952761588e-06,1.0020020952761588e-06,7.486477716734766e-06,2.077139064079155e-05
7.50007558,0,121,0.1407089978456497,70.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0001049110913948414,0.06232224764783561,1.0020020952761588e-06,0.5636460892451012,1.0020020952761588e-06,1.0020020952761588e-06,6.671254860445718e-06,1.7709793428583427e-05
7.600067179,0,121,0.1388105005025863,71.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.00021087226247250374,0.08275130678518224,1.0020020952761588e-06,0.586164035278507,1.0020020952761588e-06,1.0020020952761588e-06,5.621596873507681e-06,1.543857937765283e-05
7.700054552,0,121,0.1368821561336517,72.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0003854376454338853,0.10666619446625568,1.0020020952761588e-06,0.6100807633208806,1.0020020952761588e-06,1.0020020952761588e-06,4.729642259576765e-06,1.400667399723927e-05
7.800079003,0,121,0.1353432834148407,73.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0005405013671275288,0.12579057526057322,1.0020020952761588e-06,0.6328461340147747,1.0020020952761588e-06,1.0020020952761588e-06,4.0902173178608585e-06,1.3636246090442139e-05
7.900089557,0,121,0.1339060366153717,74.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0007302607272664998,0.14735439030403885,1.0020020952761588e-06,0.6596065650359837,1.0020020952761588e-06,1.0020020952761588e-06,3.7040186399715154e-06,1.4222164766616661e-05
8.000073855,0,121,0.1326996088027954,75.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0008200577727834265,0.1608920938678504,1.0020020952761588e-06,0.6977670842713801,1.0020020952761588e-06,1.0020020952761588e-06,6.33488888896111e-06,2.3289369188627864e-05
8.10004702,0,121,0.1324753612279892,75.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,0.0007838435050284086,0.1615265668040629,1.0020020952761588e-06,0.7203951290861522,1.0020020952761588e-06,1.0020020952761588e-06,1.1286854809356357e-05,3.679686220131049e-05
