%time,intersection_length
1735646098403650865,0
1735646098503137873,0
1735646098603610758,0
1735646098703529593,0
1735646098802318749,0
1735646098904041148,0
1735646099004040857,1
1735646099105264260,2
1735646099203729835,3
1735646099304050131,4
1735646099403532740,5
1735646099503576382,6
1735646099603312921,7
1735646099704306321,8
1735646099803369246,9
1735646099903849394,10
1735646100002116241,11
1735646100103971492,12
1735646100204410162,13
1735646100303180283,14
1735646100403650212,15
1735646100502127439,16
1735646100603363195,17
1735646100703269337,18
1735646100803412437,19
1735646100903349367,20
1735646101003344427,21
1735646101104214022,22
1735646101204245620,23
1735646101302600996,24
1735646101404134408,25
1735646101504489669,26
1735646101603911234,27
1735646101704452307,28
1735646101803437415,29
1735646101904412971,30
1735646102004292372,31
1735646102103516100,32
1735646102204679502,33
1735646102303895637,34
1735646102404548943,35
1735646102503358629,36
1735646102603411298,37
1735646102704192616,38
1735646102804389508,39
1735646102903430542,40
1735646103003484844,41
1735646103105641416,42
1735646103203626191,43
1735646103303612233,44
1735646103403744283,45
1735646103503595130,46
1735646103604347673,47
1735646103704433084,48
1735646103804486835,49
1735646103903792260,50
1735646104004069003,51
1735646104103659778,52
1735646104203882368,53
1735646104303942251,54
1735646104403995561,55
1735646104502707262,56
1735646104602253211,57
1735646104703200714,58
1735646104803575813,59
1735646104903045629,60
1735646105003148844,61
1735646105104092038,62
1735646105204036953,63
1735646105304247982,64
1735646105402325322,65
1735646105504520707,66
1735646105605098470,66
1735646105705398648,66
1735646105805906219,67
1735646105904758796,67
1735646106004586670,67
1735646106105269802,67
1735646106204575838,67
1735646106304465859,67
1735646106405565269,67
1735646106504601504,67
1735646106604496106,67
1735646106704858601,67
1735646106804853170,67
1735646106902289857,67
1735646107004693436,67
1735646107105071842,67
1735646107204671804,67
1735646107304775521,67
1735646107404791400,67
1735646107505053366,67
1735646107604812339,67
1735646107704349852,67
1735646107805362108,67
1735646107905185084,67
1735646108004871540,67
1735646108104117632,67
1735646108205520667,67
1735646108303921972,67
1735646108405207013,67
1735646108504006911,67
1735646108603970862,67
1735646108704069107,67
1735646108804842031,67
1735646108905312241,67
